;;;Понедельник;Вторник;Среда;Четверг;Пятница;;;;
;;;;;1 четверть;;;;;;
;;;;;11_1;;;;;;
1;9:00;9:45;Информатика 204;История 412;История 412;Физкультура 0;Литература 208;;;;
2;9:55;10:40;Информатика 204;Физкультура 0;Алгебра 209;Биология 210;Литература 208;;;;
3;10:50;11:35;Английский 310,306;Физика 206;Английский 310,306;Физика 400;Алгебра 209;;;;
4;11:45;12:30;Английский 310,306;Физика 206;Английский 310,306;Физика 400;Алгебра 209;;;;
5;12:40;13:25;Алгебра 209;Литература 208;Геометрия 209;Русский язык 208;Астрономия 300;;;;
6;13:45;14:30;Алгебра 209;Литература 208;Геометрия 209;Русский язык 208;Геометрия 209;;;;
7;14:50;15:35;ОБЖ 404;Химия 400;История 412;Обществознание 303;;;;;
;;;;;;;;;;;
;;;;;11_2;;;;;;                                                                            
1;9:00;9:45;Английский 310,306;Физкультура 0;Алгебра 209;Физика 400;Алгебра 209;;;;
2;9:55;10:40;Английский 310,306;История 412;ОБЖ 404;Физика 400;Алгебра 209;;;;
3;10:50;11:35;Алгебра 209;Английский 310,306;Геометрия 209;Литература 208;Русский язык 208;;;;
4;11:45;12:30;Алгебра 209;Английский 310,306;Геометрия 209;Литература 208;Русский язык 208;;;;
5;12:40;13:25;Литература 208;История 412;История 412;Физкультура 0;Геометрия 209;;;;
6;13:45;14:30;Литература 208;Физика 206;Информатика 105;Обществознание 303;Химия 400;;;;
7;14:50;15:35;;Физика 206;Информатика 105;Биология 210;Астрономия 300;;;;
;;;;;;;;;;;
;;;;;11_3;;;;;;
1;9:00;9:45;Алгебра 411;Геометрия 411;Биология 210;Английский 310,306;Информатика 104;;;;
2;9:55;10:40;Алгебра 411;Геометрия 411;История 412;Английский 310,306;Информатика 104;;;;
3;10:50;11:35;Литература 208;Русский язык 208;Физика 206;Обществознание 303;Алгебра 411;;;;
4;11:45;12:30;Литература 208;Русский язык 208;Физика 206;История 412;Геометрия 411;;;;
5;12:40;13:25;ОБЖ 404;Английский 310,306;Алгебра 411;История 412;Литература 208;;;;
6;13:45;14:30;Физика 206;Английский 310,306;Алгебра 411;Физкультура 0;Литература 208;;;;
7;14:50;15:35;Физика 206;Физкультура 0;Химия 400;Астрономия 206;;;;;
;;;;;;;;;;;
;;;;;11_4;;;;;;
1;9:00;9:45;Литература 208;Русский язык 208;Английский 310,306;Литература 208;Алгебра 411;;;;
2;9:55;10:40;Литература 208;Русский язык 208;Английский 310,306;Литература 208;Геометрия 411;;;;
3;10:50;11:35;Физика 206;История 412;Алгебра 411;Физика 206;Информатика 104;;;;
4;11:45;12:30;Физика 206;Физкультура 0;Алгебра 411;Физика 206;Информатика 104;;;;
5;12:40;13:25;Алгебра 411;Геометрия 411;Биология 210;Обществознание 303;Английский 310,306;;;;
6;13:45;14:30;Алгебра 411;Геометрия 411;Химия 400;История 412;Английский 310,306;;;;
7;14:50;15:35;;История 412;ОБЖ 404;Физкультура 0;Астрономия 206;;;;
;;;;;;;;;;;
;;;;;11_5;;;;;;
1;9:00;9:45;ОБЖ 404;Физика 206;Алгебра 411;Обществознание 303;Литература 313;;;;
2;9:55;10:40;Химия 400;Физика 206;Алгебра 411;Физкультура 0;Литература 313;;;;
3;10:50;11:35;Алгебра 411;Геометрия 411;История 412;История 412;Английский 310,306;;;;
4;11:45;12:30;Алгебра 411;Геометрия 411;История 412;Английский 310,306;Английский 310,306;;;;
5;12:40;13:25;Литература 313;Физкультура 0;Русский язык 313;Английский 310,306;Алгебра 411;;;;
6;13:45;14:30;Литература 313;Информатика 204;Русский язык 313;Физика 400;Геометрия 411;;;;
7;14:50;15:35;;Информатика 204;Биология 210;Астрономия 400;Обществознание 303;;;;
;;;;;;;;;;;
