;;;Понедельник;Вторник;Среда;Четверг;Пятница
;;;;;1 четверть;;
;;;;;6_1;;
1;9:00;9:45;Литература 304п;ВП 305п,408п;Физкультура 0п;Русский язык 301п;ВП 305п,408п
2;9:55;10:40;Английский 401п,211п;Русский язык 301п;ИЗО 202п;Английский 411п,211п;Литература 304п
3;10:50;11:35;Русский язык 301п;Литература 304п;Обществознание 405п;История 304п;Английский 402п,211п
4;11:45;12:30;Математика 201п;Математика 201п;Математика 201п;Русский язык 301п;Математика 201п
5;12:40;13:25;История 304п;Английский 411п,211п;Биология 503п;Музыка 402п;Русский язык 301п
6;13:45;14:30;Русский язык 301п;Математика 201п;География 501п;Математика 201п;Физкультура 0п
;;;;;;;
;;;;;;;
;;;;;6_2;;
1;9:00;9:45;Английский 401п,211п;Русский язык 409п;Обществознание 405п;Английский 411п,211п;Математика 201п
2;9:55;10:40;Математика 201п;Математика 201п;География 501п;Математика 201п;Русский язык 409п
3;10:50;11:35;Русский язык 409п;Литература 409п;Математика 201п;Музыка 402п;ВП 307п,305п
4;11:45;12:30;Литература 409п;Русский язык 409п;Биология 503п;Литература 409п;Английский 402п,211п
5;12:40;13:25;ВП 307п,305п;История 304п;Математика 201п;Русский язык 409п;Физкультура 0п
6;13:45;14:30;ИЗО 202п;Английский 411п,211п;Физкультура 0п;История 304п;Русский язык 409п
;;;;;;;
;;;;;;;
;;;;;6_3;;
1;9:00;9:45;География 501п;Английский 411п,211п;Музыка 402п;Русский язык 409п;Физкультура 0п
2;9:55;10:40;Русский язык 409п;Русский язык 409п;Обществознание 405п;Математика 404п;Математика 404п
3;10:50;11:35;ВП 307п,305п;Математика 404п;Математика 404п;Русский язык 409п;Литература 409п
4;11:45;12:30;Математика 404п;ИЗО 202п;Физкультура 0п;Английский 411п,211п;Русский язык 409п
5;12:40;13:25;Литература 409п;Литература 409п;Математика 404п;История 304п;Английский 402п,211п
6;13:45;14:30;Английский 401п,211п;История 304п;Биология 503п;Русский язык 409п;ВП 307п,305п
;;;;;;;
;;;;;;;
;;;;;6_4;;
1;9:00;9:45;Русский язык 409п;Математика 404п;История 403п;Литература 304п;Русский язык 409п
2;9:55;10:40;Литература 304п;Литература 304п;Математика 404п;Русский язык 409п;Физкультура 0п
3;10:50;11:35;Математика 404п;ВП 307п,305п;Биология 503п;Английский 411п,211п;Математика 404п
4;11:45;12:30;Английский 401п,211п;Английский 411п,211п;Обществознание 405п;Музыка 402п;ВП 307п,305п
5;12:40;13:25;География 501п;ИЗО 202п;Физкультура 0п;Математика 404п;Русский язык 409п
6;13:45;14:30;Русский язык 409п;Русский язык 409п;Математика 404п;История 403п;Английский 402п,211п
;;;;;;;
;;;;;;;
;;;;;6_5;;
1;9:00;9:45;Физкультура 0п;Математика 303п;ИЗО 202п;Математика 303п;История 304п
2;9:55;10:40;Математика 302п;ВП 307п,305п;География 304п;История 304п;Английский 402п,211п
3;10:50;11:35;Русский язык 502п;Английский 411п,211п;Музыка 402п;Математика 302п;Литература 304п
4;11:45;12:30;Математика 302п;Русский язык 502п;Русский язык 502п;Русский язык 502п;Физкультура 0п
5;12:40;13:25;Английский 401п,211п;Биология 503п;Обществознание 405п;Английский 411п,211п;ВП 307п,305п
6;13:45;14:30;Литература 502п;Русский язык 502п;Литература 502п;Русский язык 502п;Математика 302п
;;;;;;;
;;;;;;;
;;;;;6_6;;
1;9:00;9:45;Математика 209п;Математика 209п;Математика 209п;Физкультура 0п;Английский 402п,211п
2;9:55;10:40;Физкультура 0п;Английский 411п,211п;Русский язык 502п;ИЗО 202п;ВП 307п,408п
3;10:50;11:35;Английский 401п,211п;Русский язык 502п;География 304п;Русский язык 502п;Математика 209п
4;11:45;12:30;Русский язык 502п;ВП 307п,408п;Музыка 402п;Математика 209п;Литература 304п
5;12:40;13:25;Литература 502п;Русский язык 502п;Литература 502п;Русский язык 502п;Математика 209п
6;13:45;14:30;История 304п;Биология 503п;Обществознание 405п;Английский 411п,211п;История 304п
;;;;;;;
;;;;;;;
