;;;Понедельник;Вторник;Среда;Четверг;Пятница;Суббота
;;;;;1 четверть;;;
;;;;;8_1;;;
1;9:00;9:45;Алгоритмика и основы программирования 408п,308п;Русский язык 301п;Геометрия 302п;Английский язык 309п,310п;Русский язык 301п;Алгоритмика и основы программирования 307п,408п
2;9:55;10:40;Алгоритмика и основы программирования 408п,308п;Алгебра 303п;Физика 409п;Английский язык 309п,310п;География 503п;Алгоритмика и основы программирования 307п,408п
3;10:50;11:35;Английский язык 309п,310п;Литература 301п;История 202п;Химия 506п;Алгебра 303п;Химия 506п
4;11:45;12:30;Английский язык 309п,310п;Физкультура 0п;Биология 506п;Физика 507п;Литература 301п;История 304п
5;12:40;13:25;Русский язык 301п;Геометрия 302п;География 304п;Литература 301п;Геометрия 302п;Физкультура 0п
6;13:45;14:30;Алгебра 303п;Биология 506п;Обществознание 401п;Алгебра 303п;Алгебра 303п;
7;14:50;15:35;;;;Физика 507п;;
;;;;;;;;
;;;;;8_2;;;
1;9:00;9:45;Русский язык 301п;Геометрия 302п;Физика 409п;Физика 507п;Английский язык 309п,310п;История 304п
2;9:55;10:40;Алгебра 303п;Биология 506п;Геометрия 302п;Литература 301п;Английский язык 309п,310п;Химия 506п
3;10:50;11:35;Алгоритмика и основы программирования 408п,308п;Алгебра 303п;Биология 506п;Алгебра 303п;Русский язык 301п;Обществознание 304п
4;11:45;12:30;Алгоритмика и основы программирования 408п,308п;Русский язык 301п;География 304п;Химия 506п;Геометрия 302п;Физкультура 0п
5;12:40;13:25;Английский язык 309п,310п;Физкультура 0п;История 401п;Алгебра 303п;Алгебра 303п;Алгоритмика и основы программирования 307п,408п
6;13:45;14:30;Английский язык 309п,310п;Литература 301п;;Физика 507п;Литература 301п;Алгоритмика и основы программирования 307п,408п
7;14:50;15:35;;;;;География 503п;
;;;;;;;;
;;;;;8_3;;;
1;9:00;9:45;Английский язык 309п,310п;Химия 507п;География 304п;Химия 506п;Русский язык 203п;Физкультура 0п
2;9:55;10:40;Английский язык 309п,310п;Геометрия 302п;Биология 506п;Физика 507п;Алгебра 303п;Геометрия 302п
3;10:50;11:35;Русский язык 203п;Русский язык 203п;Физика 409п;Физкультура 0п;Английский язык 309п,310п;Алгоритмика и основы программирования 307п,408п
4;11:45;12:30;Алгебра 303п;Алгебра 303п;История 202п;Алгебра 303п;Английский язык 309п,310п;Алгоритмика и основы программирования 307п,408п
5;12:40;13:25;Алгоритмика и основы программирования 408п,308п;Литература 203п;Литература 203п;Физика 507п;География 503п;История 304п
6;13:45;14:30;Алгоритмика и основы программирования 408п,308п;Алгебра 303п;Геометрия 302п;;Литература 203п;Обществознание 304п
7;14:50;15:35;;;;;Биология 506п;
;;;;;;;;
;;;;;8_4;;;
1;9:00;9:45;Алгебра 201п;Алгебра 201п;Алгоритмика и основы программирования 308п,408п;Алгоритмика и основы программирования 307п,408п;Геометрия 302п;Химия 506п
2;9:55;10:40;Русский язык 301п;Физкультура 0п;Алгоритмика и основы программирования 308п,408п;Алгоритмика и основы программирования 307п,408п;Литература 301п;Физкультура 0п
3;10:50;11:35;Биология 506п;Английский язык 309п,310п;Геометрия 302п;Русский язык 301п;Алгебра 201п;Физика 409п
4;11:45;12:30;Литература 301п;Английский язык 309п,310п;Физика 409п;Алгебра 201п;География 503п;Физика 409п
5;12:40;13:25;География 507п;Русский язык 301п;Биология 506п;Химия 506п;Английский язык 309п,310п;Геометрия 302п
6;13:45;14:30;;История 405п;Алгебра 201п;Литература 301п;Английский язык 309п,310п;История 405п
7;14:50;15:35;;;;Обществознание 405п;;
;;;;;;;;
;;;;;8_5;;;
1;9:00;9:45;География 507п;Английский язык 309п,310п;Русский язык 203п;Физкультура 0п;История 405п;Физика 409п
2;9:55;10:40;Химия 506п;Английский язык 309п,310п;Литература 203п;Алгебра 303п;Геометрия 302п;Физика 409п
3;10:50;11:35;Алгебра 303п;Геометрия 302п;Алгоритмика и основы программирования 308п,408п;Алгоритмика и основы программирования 307п,408п;География 503п;Обществознание 405п
4;11:45;12:30;Русский язык 203п;Русский язык 203п;Алгоритмика и основы программирования 308п,408п;Алгоритмика и основы программирования 307п,408п;Алгебра 303п;История 405п
5;12:40;13:25;Алгебра 303п;Алгебра 303п;Физика 409п;Английский язык 309п,310п;Литература 203п;Химия 506п
6;13:45;14:30;Литература 203п;Физкультура 0п;Биология 506п;Английский язык 309п,310п;Биология 506п;Геометрия 302п
7;14:50;15:35;;;;;;
;;;;;;;;
;;;;;8_6;;;
1;9:00;9:45;Химия 506п;Физкультура 0п;Биология 506п;Алгебра 201п;География 503п;Обществознание 405п
2;9:55;10:40;Русский язык 203п;Русский язык 203п;Алгебра 201п;Физкультура 0п;Алгебра 201п;История 405п
3;10:50;11:35;Алгебра 201п;Алгебра 201п;Русский язык 203п;Английский язык 309п,310п;Геометрия 302п;Геометрия 302п
4;11:45;12:30;География 507п;Геометрия 302п;Литература 203п;Английский язык 309п,310п;Литература 203п;Химия 506п
5;12:40;13:25;Литература 203п;Английский язык 309п,310п;Алгоритмика и основы программирования 308п,408п;Алгоритмика и основы программирования 307п,408п;Биология 506п;Физика 409п
6;13:45;14:30;;Английский язык 309п,310п;Алгоритмика и основы программирования 308п,408п;Алгоритмика и основы программирования 307п,408п;История 405п;Физика 409п
7;14:50;15:35;;;Физика 409п;;;
;;;;;;;;
