 ;;;Понедельник;Вторник;Среда;Четверг;Пятница;Суббота;;;
;;;;;1 четверть;;;;;;
;;;;;9_1;;;;;;
1;9:00;9:45;Физика 200;Русский язык 313;Геометрия 413;Физика 200;ПиВ 105,203;Алгебра 413;;;
2;9:55;10:40;Физкультура 0;Русский язык 313;Биология 210;История 311;ПиВ 105,203;Алгебра 413;;;
3;10:50;11:35;ПиВ 105,203;История 311;Английский язык 406,409;Русский язык 313;Химия 400;Физика 200;;;
4;11:45;12:30;ПиВ 105,203;Химия 400;Английский язык 406,409;Биология 210;Геометрия 413;Обществознание 412;;;
5;12:40;13:25;Английский язык 406,409;Алгебра 413;География 302;География 302;Физкультура 0;Литература 313;;;
6;13:45;14:30;Английский язык 406,409;Алгебра 413;;Литература 313;Алгебра 413;Литература 313;;;
7;14:50;15:35;;;;;;;;;
;;;;;;;;;;;
;;;;;9_2;;;;;;
1;9:00;9:45;ПиВ 105,203;История 311;Английский язык 406,409;История 311;Геометрия 402;Литература 313;;;
2;9:55;10:40;ПиВ 105,203;Геометрия 402;Английский язык 406,409;Физкультура 0;Алгебра 402;Литература 313;;;
3;10:50;11:35;Английский язык 406,409;Русский язык 313;География 302;Физика 200;ПиВ 105,203;Биология 210;;;
4;11:45;12:30;Английский язык 406,409;Русский язык 313;Биология 210;Литература 313;ПиВ 105,203;География 302;;;
5;12:40;13:25;Алгебра 402;Химия 400;Физика 200;Русский язык 313;Химия 400;Физика 200;;;
6;13:45;14:30;Алгебра 402;Алгебра 402;Физкультура 0;Алгебра 402;;Обществознание 412;;;
7;14:50;15:35;;;;;;;;;
;;;;;;;;;;;
;;;;;9_3;;;;;;
1;9:00;9:45;Физика 206;Алгебра 413;География 302;Русский язык 313;Алгебра 413;Обществознание 412;;;
2;9:55;10:40;Физика 206;Алгебра 413;Химия 400;Литература 313;Геометрия 413;Биология 210;;;
3;10:50;11:35;Физкультура 0;Английский язык 406,409;Геометрия 413;ООП 104,105;Английский язык 406,409;Литература 313;;;
4;11:45;12:30;Химия 400;Английский язык 406,409;Физкультура 0;ООП 104,105;Английский язык 406,409;Литература 313;;;
5;12:40;13:25;ООП 104,204;Русский язык 313;Алгебра 413;Физика 206;География 302;Алгебра 413;;;
6;13:45;14:30;ООП 104,204;Русский язык 313;Биология 210;Физика 206;ООП 104;;;;
7;14:50;15:35;;История 311;;История 311;ООП 104;;;;
;;;;;;;;;;;
;;;;;9_4;;;;;;
1;9:00;9:45;Английский язык 406,409;Биология 210;Русский язык 303;Физика 206;Физика 206;Биология 210;;;
2;9:55;10:40;Английский язык 406,409;Физкультура 0;Русский язык 303;Физика 206;Физика 206;Обществознание 412;;;
3;10:50;11:35;Литература 303;Алгебра 413;Химия 400;История 311;Геометрия 413;Алгебра 413;;;
4;11:45;12:30;Литература 303;Алгебра 413;Геометрия 413;География 302;География 302;Алгебра 413;;;
5;12:40;13:25;Физкультура 0;История 311;Английский язык 406,409;ООП 104;Алгебра 413;Русский язык 303;;;
6;13:45;14:30;Химия 400;ООП 203,205;Английский язык 406,409;ООП 104;ООП 205,204;Литература 303;;;
7;14:50;15:35;;ООП 203,205;;;ООП 205,204;;;;
;;;;;;;;;;;
;;;;;9_5;;;;;;
1;9:00;9:45;Алгебра 402;Английский язык 406,409;Химия 400;ООП 104,105;Английский язык 406,409;Русский язык 303;;;
2;9:55;10:40;Алгебра 402;Английский язык 406,409;География 302;ООП 104,105;Английский язык 406,409;Литература 303;;;
3;10:50;11:35;ООП 104,204;Физкультура 0;Русский язык 303;Алгебра 402;Физика 206;Обществознание 412;;;
4;11:45;12:30;ООП 104,204;История 311;Русский язык 303;Алгебра 402;Физика 206;Биология 210;;;
5;12:40;13:25;Литература 303;Геометрия 402;Физика 206;История 311;Геометрия 402;География 302;;;
6;13:45;14:30;Литература 303;ООП 104;Физика 206;Биология 210;Алгебра 402;;;;
7;14:50;15:35;Химия 400;ООП 104;Физкультура 0;;;;;; 
;;;;;;;;;;;
;;;;;9_6;;;;;;
1;9:00;9:45;Литература 303;Геометрия 402;Физкультура 0;ММЭ,КАД 204,205;Физкультура 0;Экономика 206;;;
2;9:55;10:40;Литература 303;История 311;Физика 200;ММЭ,КАД 204,205;Химия 400;Экономика 206;;;
3;10:50;11:35;Алгебра 402;Химия 400;Физика 200;География 302;Геометрия 402;Русский язык 303;;;
4;11:45;12:30;Алгебра 402;Алгебра 402;География 302;История 311;Алгебра 402;Литература 303;;;
5;12:40;13:25;Биология 210;Английский язык 406,409;Русский язык 303;Алгебра 402;Английский язык 406,409;Обществознание 412;;;
6;13:45;14:30;Биология 210;Английский язык 406,409;Русский язык 303;;Английский язык 406,409;Физика 200;;;
7;14:50;15:35;;;;;;;;;
